Customer_ID,Age,Gender,Location,Browsing_History,Purchase_History,Customer_Segment,Avg_Order_Value,Holiday,Season
C1000,28,Female,Chennai,"['Books', 'Fashion']","['Biography', 'Jeans']",New Visitor,4806.99,No,Winter
C1001,27,Male,Delhi,"['Books', 'Fitness', 'Fashion']","['Biography', 'Resistance Bands', 'T-shirt']",Occasional Shopper,795.03,Yes,Autumn
C1002,34,Other,Chennai,['Electronics'],['Smartphone'],Occasional Shopper,1742.45,Yes,Summer
C1003,23,Male,Bangalore,['Home Decor'],['Wall Art'],Frequent Buyer,2023.16,No,Autumn
C1004,24,Other,Kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Lamp']",Frequent Buyer,794.76,No,Winter
C1005,22,Other,Bangalore,['Home Decor'],['Curtains'],Frequent Buyer,2504.65,No,Winter
C1006,30,Male,Kolkata,['Home Decor'],['Cushions'],New Visitor,2171.58,No,Autumn
C1007,38,Female,Delhi,['Home Decor'],['Wall Art'],Frequent Buyer,1188.17,Yes,Summer
C1008,52,Male,Kolkata,['Home Decor'],['Lamp'],New Visitor,3104.72,Yes,Autumn
C1009,21,Male,Kolkata,['Fitness'],['Resistance Bands'],Occasional Shopper,4551.92,Yes,Summer
C1010,42,Female,Kolkata,"['Books', 'Electronics', 'Fitness']","['Biography', 'Smartphone', 'Yoga Mat']",Frequent Buyer,1220.67,No,Autumn
C1011,36,Other,Bangalore,['Fitness'],['Yoga Mat'],Occasional Shopper,584.82,No,Spring
C1012,34,Male,Kolkata,"['Electronics', 'Books', 'Fitness']","['Headphones', 'Fiction', 'Yoga Mat']",Frequent Buyer,4418.81,No,Winter
C1013,55,Male,Chennai,"['Books', 'Fashion']","['Non-fiction', 'Shoes']",Frequent Buyer,2592.63,Yes,Autumn
C1014,40,Other,Bangalore,"['Fitness', 'Electronics']","['Resistance Bands', 'Smartphone']",Frequent Buyer,3415.33,Yes,Summer
C1015,54,Other,Mumbai,"['Home Decor', 'Beauty', 'Electronics']","['Curtains', 'Foundation', 'Headphones']",Frequent Buyer,698.1,No,Summer
C1016,41,Other,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,1669.59,Yes,Summer
C1017,44,Male,Delhi,"['Fitness', 'Home Decor']","['Resistance Bands', 'Lamp']",Occasional Shopper,4399.61,Yes,Summer
C1018,22,Female,Mumbai,"['Electronics', 'Fashion']","['Laptop', 'Shoes']",New Visitor,3237.5,No,Autumn
C1019,40,Female,Delhi,"['Books', 'Home Decor']","['Biography', 'Wall Art']",New Visitor,3299.23,No,Winter
C1020,52,Female,Delhi,"['Electronics', 'Fashion', 'Beauty']","['Laptop', 'Jeans', 'Moisturizer']",New Visitor,4987,Yes,Winter
C1021,41,Female,Delhi,"['Electronics', 'Books', 'Beauty']","['Headphones', 'Fiction', 'Moisturizer']",Occasional Shopper,4724.02,Yes,Spring
C1022,40,Male,Mumbai,['Home Decor'],['Wall Art'],New Visitor,3169.44,No,Summer
C1023,36,Male,Delhi,"['Fitness', 'Books']","['Resistance Bands', 'Comics']",Occasional Shopper,3842.19,No,Spring
C1024,19,Other,Bangalore,"['Books', 'Fitness']","['Biography', 'Dumbbells']",Frequent Buyer,1586.33,Yes,Winter
C1025,45,Other,Delhi,"['Books', 'Fitness']","['Comics', 'Yoga Mat']",Frequent Buyer,1839.54,Yes,Spring
C1026,20,Male,Chennai,"['Books', 'Home Decor']","['Biography', 'Curtains']",Frequent Buyer,3861.96,Yes,Winter
C1027,52,Other,Mumbai,"['Books', 'Electronics', 'Fitness']","['Non-fiction', 'Headphones', 'Yoga Mat']",Frequent Buyer,1073.47,Yes,Autumn
C1028,52,Other,Bangalore,"['Electronics', 'Fashion']","['Smartwatch', 'Jeans']",Frequent Buyer,3766.58,No,Summer
C1029,54,Female,Chennai,"['Books', 'Fashion']","['Fiction', 'Shoes']",Occasional Shopper,1855.09,Yes,Spring
C1030,35,Other,Kolkata,"['Beauty', 'Books', 'Fashion']","['Perfume', 'Non-fiction', 'Jacket']",New Visitor,1090.75,No,Winter
C1031,36,Female,Kolkata,['Fashion'],['T-shirt'],Frequent Buyer,2671.88,No,Winter
C1032,28,Female,Mumbai,"['Home Decor', 'Books', 'Fashion']","['Curtains', 'Comics', 'Shoes']",Occasional Shopper,2850.56,No,Spring
C1033,31,Male,Mumbai,"['Electronics', 'Beauty']","['Smartphone', 'Moisturizer']",New Visitor,1318.82,Yes,Summer
C1034,35,Female,Delhi,"['Electronics', 'Books', 'Fashion']","['Laptop', 'Biography', 'T-shirt']",New Visitor,1035.54,No,Autumn
C1035,60,Female,Bangalore,"['Home Decor', 'Electronics', 'Fitness']","['Cushions', 'Laptop', 'Resistance Bands']",New Visitor,3234.16,Yes,Spring
C1036,27,Male,Bangalore,['Beauty'],['Foundation'],Occasional Shopper,2984.61,No,Summer
C1037,53,Other,Chennai,"['Home Decor', 'Fitness']","['Wall Art', 'Resistance Bands']",Frequent Buyer,2679.8,Yes,Winter
C1038,44,Other,Chennai,"['Electronics', 'Beauty', 'Fitness']","['Smartphone', 'Moisturizer', 'Treadmill']",Frequent Buyer,1782.62,Yes,Summer
C1039,27,Female,Bangalore,"['Fitness', 'Fashion', 'Electronics']","['Treadmill', 'T-shirt', 'Smartwatch']",Frequent Buyer,1391.02,Yes,Autumn
C1040,56,Male,Chennai,"['Electronics', 'Fashion']","['Laptop', 'Jeans']",Occasional Shopper,2186.39,Yes,Summer
C1041,30,Other,Mumbai,['Books'],['Biography'],Occasional Shopper,1902.01,No,Summer
C1042,54,Other,Bangalore,"['Fashion', 'Home Decor', 'Electronics']","['Shoes', 'Cushions', 'Smartwatch']",New Visitor,4912.05,No,Winter
C1043,57,Female,Chennai,['Home Decor'],['Curtains'],New Visitor,3275.36,Yes,Autumn
C1044,54,Other,Kolkata,"['Fashion', 'Home Decor']","['Shoes', 'Wall Art']",Occasional Shopper,4436.31,No,Summer
C1045,27,Male,Kolkata,"['Home Decor', 'Beauty', 'Fitness']","['Cushions', 'Moisturizer', 'Treadmill']",Occasional Shopper,1212.03,No,Autumn
C1046,19,Other,Chennai,['Electronics'],['Headphones'],New Visitor,831.1,Yes,Summer
C1047,20,Female,Chennai,"['Home Decor', 'Fashion', 'Beauty']","['Cushions', 'Jeans', 'Moisturizer']",Frequent Buyer,2569.62,No,Winter
C1048,28,Other,Bangalore,['Fashion'],['Jeans'],Frequent Buyer,1553.49,Yes,Winter
C1049,38,Other,Mumbai,"['Electronics', 'Fashion']","['Headphones', 'Jacket']",New Visitor,1924.44,No,Winter
C1050,25,Female,Chennai,['Fashion'],['T-shirt'],Occasional Shopper,2177.47,No,Spring
C1051,49,Other,Delhi,"['Books', 'Fitness', 'Home Decor']","['Fiction', 'Yoga Mat', 'Wall Art']",Occasional Shopper,3792.71,No,Winter
C1052,53,Female,Kolkata,"['Home Decor', 'Fashion']","['Cushions', 'Jeans']",Frequent Buyer,2864.19,Yes,Autumn
